epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3228,0.97977,1.94837,0.96955,0.94477,0.91856,0.93733,0.78212,0.80769,1.57761,0.89759,0.00330033,0.00330033,0.070297
2,46.785,0.96746,1.87246,0.95415,0.9371,0.89197,0.92808,0.77624,0.81282,1.6977,0.89687,0.00656799,0.00656799,0.0402314
3,71.2359,1.00086,1.85226,0.95657,0.94199,0.8595,0.91,0.73155,0.92091,1.82238,0.93647,0.00976965,0.00976965,0.0100997
4,93.6169,1.01938,1.91481,0.96157,0.95957,0.85833,0.91465,0.75211,0.87196,1.73315,0.90964,0.009703,0.009703,0.009703
5,116.719,1.00287,1.89548,0.95327,0.91096,0.92939,0.95078,0.77233,0.90074,1.69923,0.92761,0.009604,0.009604,0.009604
6,139.748,1.01425,1.91503,0.97633,0.89215,0.89501,0.92536,0.74335,0.89934,1.91578,0.92618,0.009505,0.009505,0.009505
7,164.451,0.99912,1.99428,0.96821,0.95452,0.85717,0.91556,0.73974,0.92158,1.77713,0.93029,0.009406,0.009406,0.009406
8,185.677,0.98836,1.96088,0.96176,0.90965,0.87764,0.91566,0.74404,0.912,1.96551,0.93281,0.009307,0.009307,0.009307
9,208.003,0.99667,1.96762,0.95268,0.88208,0.90312,0.92704,0.73637,0.91454,2.06901,0.92481,0.009208,0.009208,0.009208
10,231.459,1.01454,2.04016,0.96412,0.87738,0.9147,0.92575,0.7252,0.93008,2.1173,0.94113,0.009109,0.009109,0.009109
11,253.582,1.01786,1.89221,0.95645,0.88715,0.82012,0.87516,0.70615,0.90754,2.11439,0.93381,0.00901,0.00901,0.00901
12,275.157,0.98638,1.88997,0.96105,0.88362,0.8622,0.89337,0.7176,0.9272,2.04661,0.93735,0.008911,0.008911,0.008911
13,298.198,0.98869,1.83926,0.95967,0.9182,0.80004,0.86597,0.71102,0.9049,1.98635,0.9274,0.008812,0.008812,0.008812
14,319.889,0.99627,1.85942,0.94945,0.91845,0.89541,0.91186,0.73582,0.89563,1.92563,0.92626,0.008713,0.008713,0.008713
15,342.414,0.99837,1.80085,0.9544,0.90409,0.86453,0.89586,0.71933,0.88804,2.04261,0.91868,0.008614,0.008614,0.008614
16,364.918,0.98073,1.82964,0.95433,0.89203,0.8826,0.91066,0.72589,0.88668,2.01284,0.92802,0.008515,0.008515,0.008515
17,388.453,0.96481,1.74743,0.93993,0.8997,0.87339,0.90953,0.73666,0.89963,1.94502,0.93215,0.008416,0.008416,0.008416
18,411.484,0.94043,1.74134,0.94056,0.8722,0.88343,0.90257,0.72934,0.90562,1.98579,0.9306,0.008317,0.008317,0.008317
19,434.688,0.95218,1.74702,0.94329,0.9094,0.84675,0.89035,0.72156,0.91337,1.89949,0.94564,0.008218,0.008218,0.008218
20,456.999,0.94372,1.75568,0.93889,0.91914,0.88538,0.91684,0.74159,0.87391,1.89043,0.92454,0.008119,0.008119,0.008119
21,479.333,0.93841,1.74352,0.93585,0.92709,0.85023,0.89584,0.72985,0.89128,1.91738,0.91757,0.00802,0.00802,0.00802
22,502.696,0.93262,1.6561,0.92464,0.92296,0.84985,0.9105,0.74058,0.87744,1.96355,0.92799,0.007921,0.007921,0.007921
23,526.428,0.90784,1.66544,0.93179,0.93,0.87726,0.91644,0.74907,0.88827,1.86428,0.93348,0.007822,0.007822,0.007822
24,547.17,0.92141,1.64648,0.92582,0.8845,0.89733,0.91013,0.74092,0.8876,1.87442,0.93739,0.007723,0.007723,0.007723
25,571.496,0.92423,1.7171,0.93346,0.92692,0.86799,0.91543,0.72532,0.94783,1.89848,0.95243,0.007624,0.007624,0.007624
26,594.485,0.91481,1.69682,0.92735,0.91179,0.83517,0.88843,0.73426,0.88474,1.86306,0.93063,0.007525,0.007525,0.007525
27,624.803,0.87518,1.6216,0.91254,0.89981,0.90543,0.9243,0.75711,0.88239,1.84269,0.93556,0.007426,0.007426,0.007426
28,667.1,0.92355,1.68131,0.92424,0.90468,0.86374,0.89886,0.7423,0.86238,1.88162,0.931,0.007327,0.007327,0.007327
29,710.12,0.87574,1.57778,0.92,0.92604,0.87995,0.91382,0.75019,0.91523,1.82578,0.9488,0.007228,0.007228,0.007228
30,749.797,0.8699,1.61294,0.91835,0.88753,0.91816,0.93287,0.76039,0.87413,1.73308,0.92146,0.007129,0.007129,0.007129
31,791.432,0.881,1.63191,0.9168,0.94133,0.89809,0.93271,0.76442,0.8629,1.5911,0.92211,0.00703,0.00703,0.00703
32,813.656,0.88204,1.60006,0.91856,0.93208,0.88999,0.91957,0.75587,0.87486,1.76216,0.9244,0.006931,0.006931,0.006931
33,836.83,0.86155,1.59595,0.92067,0.92569,0.84868,0.9036,0.74407,0.86528,1.90984,0.91906,0.006832,0.006832,0.006832
34,860.74,0.86673,1.60311,0.91822,0.91256,0.89385,0.91939,0.75453,0.84346,1.7142,0.91707,0.006733,0.006733,0.006733
35,883.16,0.87776,1.59184,0.91705,0.92593,0.91816,0.94386,0.7804,0.85041,1.58156,0.91538,0.006634,0.006634,0.006634
